PROVIDER_NAME,ENROL_STATUS_DATE,Enrol_No
University of KwaZulu-Natal,01/DEC/11,161257
University of KwaZulu-Natal,01/DEC/10,156507
University of KwaZulu-Natal,16/FEB/04,109
University of Johannesburg,01/DEC/13,180977
University of Johannesburg,01/JAN/13,55006
University of Johannesburg,01/JAN/14,60378
University of Johannesburg,01/DEC/10,156507
University of Johannesburg,01/JAN/10,56679
University of Johannesburg,01/DEC/11,161257
University of Johannesburg,01/JAN/11,42868
University of Johannesburg,01/DEC/14,185582
University of Johannesburg,01/JAN/12,54956
University of Johannesburg,01/DEC/12,167405
University of Johannesburg,01/JAN/08,11575
University of Johannesburg,01/JAN/09,20067
University of Limpopo,04/JAN/10,11726
University of Limpopo,09/JAN/12,12646
University of Limpopo,03/JAN/11,7326
University of Limpopo,01/JAN/02,942
University of Limpopo,04/JAN/11,19310
University of Limpopo,01/DEC/11,161257
University of Limpopo,01/DEC/10,156507
University of Limpopo,01/DEC/14,185582
University of Limpopo,01/DEC/12,167405
Cape Peninsula University of Technology,01/DEC/10,156507
Cape Peninsula University of Technology,16/JAN/07,1296
Cape Peninsula University of Technology,01/DEC/11,161257
Cape Peninsula University of Technology,16/JAN/08,2627
University of Limpopo,01/JAN/04,1642
University of Limpopo,11/JAN/05,296
University of Limpopo,07/JAN/09,2152
University of Limpopo,07/JAN/08,2333
University of Limpopo,04/FEB/07,344
University of Limpopo,01/DEC/13,180977
University of Limpopo,01/JAN/03,1339
University of Limpopo,01/FEB/01,119
University of KwaZulu-Natal,07/JAN/13,25337
University of KwaZulu-Natal,01/DEC/14,185582
University of KwaZulu-Natal,04/JAN/11,19310
University of KwaZulu-Natal,02/JAN/14,26045
University of KwaZulu-Natal,01/DEC/12,167405
University of KwaZulu-Natal,03/JAN/12,28707
University of KwaZulu-Natal,24/JUL/14,2423
University of KwaZulu-Natal,05/JAN/10,18860
University of KwaZulu-Natal,01/DEC/13,180977
University of Limpopo,23/JAN/06,369
Tshwane University of Technology,23/JAN/07,2170
Tshwane University of Technology,05/JAN/10,18860
Tshwane University of Technology,21/JAN/08,3853
Tshwane University of Technology,01/JAN/06,3197
Tshwane University of Technology,05/JAN/09,12772
Tshwane University of Technology,01/DEC/11,161257
Tshwane University of Technology,01/DEC/10,156507
Tshwane University of Technology,04/JAN/11,19310
Tshwane University of Technology,01/DEC/12,167405
Tshwane University of Technology,01/DEC/13,180977
Tshwane University of Technology,03/JAN/12,28707
Tshwane University of Technology,03/JAN/14,19372
Tshwane University of Technology,03/JAN/13,29543
Tshwane University of Technology,01/DEC/14,185582
Tshwane University of Technology,01/FEB/04,93
Tshwane University of Technology,01/AUG/04,14
University of Witwatersrand,01/JUL/09,1747
University of Witwatersrand,01/JUL/10,3335
University of Witwatersrand,01/JAN/10,56679
University of Witwatersrand,01/DEC/10,156507
University of Witwatersrand,14/JAN/09,1208
University of Witwatersrand,01/DEC/12,167405
University of Witwatersrand,11/FEB/09,235
University of Witwatersrand,01/DEC/11,161257
University of Witwatersrand,06/JUL/10,1191
University of Witwatersrand,30/JUL/10,288
University of Witwatersrand,12/APR/12,90
University of Witwatersrand,28/JAN/08,767
University of Witwatersrand,02/MAR/11,362
University of Witwatersrand,20/AUG/10,58
University of Witwatersrand,27/JAN/12,1548
University of Witwatersrand,01/FEB/12,11513
University of Witwatersrand,25/JAN/11,4540
University of Witwatersrand,15/JAN/10,2377
University of Johannesburg,01/JAN/05,2657
University of Johannesburg,01/JAN/06,3197
University of Johannesburg,29/JAN/07,1239
University of Cape Town,02/JAN/10,2476
University of Cape Town,03/JAN/10,611
University of Cape Town,02/FEB/10,1546
University of Cape Town,01/DEC/10,156507
University of Cape Town,11/JAN/09,35
University of Cape Town,11/FEB/09,235
University of Cape Town,03/FEB/11,1722
University of Cape Town,09/FEB/11,776
University of Cape Town,31/JAN/11,1489
University of Cape Town,07/FEB/11,2649
University of Cape Town,01/DEC/11,161257
University of Cape Town,25/JAN/10,5095
University of Cape Town,08/FEB/10,1610
University of Cape Town,14/FEB/11,652
University of Cape Town,13/FEB/11,36
University of Cape Town,04/JAN/10,11726
University of Cape Town,03/FEB/10,1290
University of Cape Town,31/JAN/09,440
University of Cape Town,26/JAN/10,1711
University of Cape Town,13/FEB/08,291
University of Cape Town,23/JAN/10,987
University of Cape Town,04/FEB/08,484
University of Cape Town,09/FEB/10,1241
University of Cape Town,14/FEB/06,135
University of Cape Town,16/FEB/08,62
University of Cape Town,04/FEB/10,855
University of Cape Town,09/JAN/10,1017
University of Cape Town,02/FEB/09,532
University of Cape Town,16/FEB/09,317
University of Cape Town,24/JAN/10,143
University of Cape Town,05/FEB/10,907
University of Cape Town,12/FEB/09,306
University of Cape Town,10/FEB/09,916
University of Cape Town,06/FEB/10,249
University of Cape Town,28/JAN/10,1222
University of Cape Town,29/JAN/10,1125
University of Cape Town,11/FEB/08,1709
University of Cape Town,01/FEB/08,1790
University of Cape Town,31/JAN/10,175
University of Cape Town,18/FEB/08,307
University of Cape Town,08/JAN/08,468
University of Cape Town,03/JAN/05,381
University of Cape Town,22/JAN/10,4164
University of Cape Town,12/FEB/08,415
University of Cape Town,13/JAN/09,847
University of Cape Town,23/JUL/08,48
University of Cape Town,05/FEB/09,536
University of Cape Town,13/FEB/07,187
University of Cape Town,21/JAN/11,3463
University of Cape Town,02/FEB/12,2595
University of Cape Town,08/FEB/12,1442
University of Cape Town,27/JAN/10,1288
University of Cape Town,19/FEB/07,212
University of Cape Town,07/FEB/12,1372
University of Cape Town,24/JAN/11,2034
University of Cape Town,01/DEC/12,167405
University of Cape Town,15/JAN/12,322
University of Cape Town,03/JAN/95,6
University of Cape Town,03/FEB/12,2566
University of Cape Town,30/JAN/11,108
University of Cape Town,03/JAN/98,7
University of Cape Town,23/JAN/11,260
University of Cape Town,31/JAN/13,3629
University of Cape Town,13/FEB/12,1293
University of Cape Town,04/FEB/11,2377
University of Cape Town,07/FEB/13,1644
University of Cape Town,02/FEB/11,1945
University of Cape Town,10/FEB/11,1028
University of Cape Town,04/JAN/13,1161
University of Cape Town,01/FEB/13,18940
University of Cape Town,01/DEC/13,180977
University of Cape Town,02/FEB/13,785
University of Cape Town,05/FEB/13,1833
University of Cape Town,25/JAN/11,4540
University of Cape Town,03/JAN/02,57
University of Cape Town,01/JAN/13,55006
University of Cape Town,28/DEC/12,4
University of Cape Town,10/FEB/12,1061
University of Cape Town,31/JAN/12,1589
University of Cape Town,09/FEB/09,264
University of Cape Town,17/FEB/09,259
University of Cape Town,06/FEB/07,359
University of Cape Town,15/FEB/08,261
University of Cape Town,06/FEB/06,275
University of Cape Town,01/FEB/12,11513
University of Cape Town,07/FEB/06,331
University of Cape Town,13/FEB/09,235
University of Cape Town,01/FEB/10,9742
University of Cape Town,22/JAN/11,917
University of Cape Town,21/FEB/11,431
University of Cape Town,04/FEB/86,4
University of Cape Town,08/FEB/11,1026
University of Cape Town,03/JAN/83,3
University of Cape Town,08/JAN/13,1368
University of Cape Town,04/FEB/13,2275
University of Cape Town,08/NOV/12,52
University of Cape Town,06/FEB/13,2157
University of Cape Town,09/FEB/12,1264
University of Cape Town,04/FEB/12,1126
University of Cape Town,11/JAN/14,335
University of Cape Town,02/FEB/14,579
University of Cape Town,06/FEB/14,1906
University of Cape Town,01/FEB/14,14070
University of Cape Town,12/FEB/14,1476
University of Cape Town,27/JAN/14,5122
University of Cape Town,11/FEB/14,1131
University of Cape Town,14/FEB/14,1027
University of Cape Town,15/JAN/14,1676
University of Cape Town,08/FEB/14,269
University of Cape Town,21/JAN/14,4103
University of Cape Town,28/JAN/14,2408
University of Cape Town,13/FEB/14,712
University of Cape Town,07/FEB/14,2062
University of Cape Town,03/JAN/14,19372
University of Cape Town,05/FEB/14,2150
University of Cape Town,30/JAN/13,2836
University of Cape Town,03/JAN/13,29543
University of Cape Town,19/DEC/12,759
University of Cape Town,01/DEC/14,185582
University of Cape Town,11/DEC/13,383
University of Cape Town,04/FEB/14,1826
University of Cape Town,07/JAN/12,891
University of Cape Town,14/FEB/07,154
University of Cape Town,03/APR/11,7
University of Cape Town,06/FEB/11,53
University of Cape Town,05/FEB/11,567
University of Cape Town,01/FEB/11,10091
University of Cape Town,08/FEB/06,371
University of Cape Town,24/JAN/08,582
University of Cape Town,04/FEB/05,150
University of Cape Town,30/JAN/14,1811
University of Cape Town,10/FEB/14,4648
University of Cape Town,10/JAN/14,1094
University of Cape Town,09/FEB/13,504
University of Cape Town,10/DEC/13,510
University of Cape Town,13/DEC/12,914
University of Cape Town,05/FEB/12,60
University of Cape Town,06/FEB/12,1679
University of Cape Town,13/JAN/14,4959
University of Cape Town,01/JAN/14,60378
University of Cape Town,02/APR/14,121
University of Cape Town,03/FEB/14,2726
University of Cape Town,17/JAN/14,2114
University of Cape Town,20/JAN/14,9048
University of Cape Town,15/JAN/13,2067
University of Cape Town,12/MAR/12,388
University of Cape Town,03/JAN/01,74
University of Cape Town,03/JAN/11,7326
University of Cape Town,26/JAN/11,1500
University of Cape Town,31/JAN/14,1811
University of Cape Town,23/JAN/14,5211
University of Cape Town,30/JAN/12,3581
University of Cape Town,22/JAN/14,5547
University of Cape Town,08/FEB/13,1717
University of Cape Town,29/OCT/13,83
University of Cape Town,20/DEC/13,299
University of Cape Town,06/JAN/12,1096
University of Cape Town,30/DEC/13,182
University of Cape Town,11/MAY/09,11
University of Cape Town,11/FEB/06,72
University of Cape Town,19/JAN/14,273
University of Cape Town,03/FEB/06,235
University of Cape Town,25/JAN/13,3368
University of Cape Town,21/DEC/12,1005
University of Cape Town,06/FEB/08,336
University of Cape Town,18/AUG/08,5
University of Cape Town,10/FEB/10,570
University of Cape Town,17/FEB/14,1049
University of Cape Town,17/FEB/08,29
University of Cape Town,03/FEB/13,298
University of Cape Town,04/FEB/09,739
University of Cape Town,03/JAN/04,51
University of Cape Town,02/FEB/07,304
University of Cape Town,16/FEB/07,180
University of Cape Town,10/FEB/06,226
University of Cape Town,01/JAN/11,42868
University of Cape Town,02/FEB/93,7
University of Cape Town,27/FEB/08,157
University of Cape Town,21/FEB/08,226
University of Cape Town,03/FEB/09,567
University of Cape Town,15/DEC/11,757
University of Cape Town,14/DEC/11,660
University of Cape Town,02/JAN/13,5174
University of Cape Town,03/JAN/99,12
University of Cape Town,06/FEB/09,375
University of Cape Town,20/JAN/11,2903
University of Cape Town,17/JAN/11,2046
University of Cape Town,02/APR/08,34
University of Cape Town,12/FEB/07,1674
University of Cape Town,13/MAR/12,431
University of Cape Town,05/JAN/09,12772
University of Cape Town,24/APR/09,29
University of Johannesburg,01/JAN/02,942
University of KwaZulu-Natal,25/JUL/11,1321
University of KwaZulu-Natal,23/JUL/12,2487
University of KwaZulu-Natal,13/FEB/06,604
University of KwaZulu-Natal,24/JUL/13,2174
University of KwaZulu-Natal,05/JAN/09,12772
University of KwaZulu-Natal,12/FEB/07,1674
University of KwaZulu-Natal,14/FEB/05,333
University of Witwatersrand,25/JAN/08,1020
University of Witwatersrand,01/SEP/09,205
University of Witwatersrand,01/JAN/07,4891
University of Witwatersrand,01/JAN/09,20067
University of Witwatersrand,01/JAN/12,54956
University of Witwatersrand,06/FEB/12,1679
University of Witwatersrand,03/FEB/09,567
University of Witwatersrand,01/JAN/08,11575
University of Witwatersrand,01/JAN/11,42868
University of Witwatersrand,21/APR/06,10
University of Witwatersrand,03/FEB/06,235
University of Witwatersrand,12/JAN/10,3387
University of Witwatersrand,26/JAN/09,864
University of Witwatersrand,01/JUN/08,127
University of Witwatersrand,02/FEB/10,1546
University of Witwatersrand,20/FEB/12,488
University of Witwatersrand,23/OCT/06,13
University of Witwatersrand,26/JAN/12,1622
University of Witwatersrand,16/SEP/08,11
University of Witwatersrand,07/JAN/10,1722
University of Witwatersrand,23/JAN/08,695
University of Witwatersrand,23/JAN/11,260
University of Witwatersrand,01/APR/11,253
University of Witwatersrand,03/FEB/11,1722
University of Witwatersrand,01/SEP/10,513
University of Witwatersrand,05/SEP/07,14
University of Witwatersrand,29/SEP/10,161
University of Witwatersrand,26/JAN/11,1500
University of Witwatersrand,20/JAN/11,2903
University of Witwatersrand,14/FEB/11,652
University of Witwatersrand,01/JUL/11,3570
University of Witwatersrand,21/JUL/10,1369
University of Witwatersrand,01/FEB/11,10091
University of Witwatersrand,04/OCT/10,117
University of Witwatersrand,14/JUL/10,1149
University of Witwatersrand,14/JAN/10,1835
University of Witwatersrand,20/AUG/07,96
University of Witwatersrand,17/JAN/08,601
University of Witwatersrand,31/MAY/01,33
University of Witwatersrand,29/JAN/10,1125
University of Witwatersrand,04/FEB/09,739
University of Witwatersrand,05/SEP/12,144
University of Witwatersrand,01/JUL/08,602
University of Witwatersrand,10/JAN/08,485
University of Witwatersrand,19/APR/10,84
University of Witwatersrand,18/FEB/11,589
University of Witwatersrand,13/JUL/09,907
University of Witwatersrand,07/JAN/11,1669
University of Witwatersrand,04/FEB/11,2377
University of Witwatersrand,12/JAN/11,3309
University of Witwatersrand,01/SEP/08,229
University of Witwatersrand,04/FEB/10,855
University of Witwatersrand,06/JAN/09,694
University of Witwatersrand,18/JAN/12,2363
University of Witwatersrand,10/MAR/10,237
University of Witwatersrand,27/JAN/10,1288
University of Witwatersrand,21/JAN/08,3853
University of Witwatersrand,19/JAN/09,1079
University of Witwatersrand,07/APR/09,52
University of Witwatersrand,17/MAY/10,52
University of Witwatersrand,31/MAY/04,21
University of Witwatersrand,23/MAY/05,11
University of Witwatersrand,01/JUL/07,240
University of Witwatersrand,21/JAN/11,3463
University of Witwatersrand,04/AUG/06,25
University of Witwatersrand,12/MAY/04,9
University of Witwatersrand,29/FEB/12,386
University of Witwatersrand,27/SEP/11,46
University of Witwatersrand,18/JAN/11,2437
University of Witwatersrand,12/SEP/11,74
University of Witwatersrand,13/JAN/11,1858
University of Witwatersrand,12/JAN/12,1810
University of Witwatersrand,10/JUL/06,93
University of Witwatersrand,07/FEB/12,1372
University of Witwatersrand,15/JUL/10,1212
University of Witwatersrand,01/JUL/12,2559
University of Witwatersrand,03/JAN/12,28707
University of Witwatersrand,17/JAN/12,2232
University of Witwatersrand,30/JAN/07,382
University of Witwatersrand,06/JAN/11,8031
University of Witwatersrand,09/JAN/12,12646
University of Witwatersrand,06/MAR/08,585
University of Witwatersrand,02/MAY/03,7
Mangosuthu University of Technology,12/JAN/10,3387
Mangosuthu University of Technology,12/JAN/09,3451
